ngoáy 122
ngoảy 27
xúm 125
xun 52
xúi 126
xui 142
xùi 41
xụi 49
nhe 147
nhé 155
nhè 127
nhễ 52
nhể 141
nhẽ 146
nhẹ 154
nhẻ 102
ràng 134
răng 150
rằng 155
ráng 148
rảng 41
rạng 129
rang 136
rặng 51
nha 155
nhá 150
nhà 155
nhã 132
nhả 130
tướp 50
nhơ 118
nho 140
nhô 100
nhó 18
nhờ 155
nhỡ 142
nhợ 52
nhọ 134
nhỏ 155
nhổ 138
nhố 51
nhở 97
nhớ 155
tướt 54
tuột 135
tuốt 130
rành 146
rảnh 152
rãnh 139
ranh 136
nhũ 55
như 155
nhu 153
nhú 48
nhự 40
nhụ 41
nhủ 52
nhử 50
nhứ 53
nhừ 106
tưởi 34
tưới 123
tuồi 50
tuổi 155
tươi 147
tươm 54
tuôn 112
tuồn 122
thịch 51
thích 155
tước 125
tuộc 41
tược 51
tuốc 48
kia 155
kìa 152
xía 51
xỉa 135
xìa 50
tợp 49
tớp 52
tốp 107
tọp 51
tóp 122
rong 125
rống 104
rồng 136
rông 100
rộng 152
ròng 112
róng 2
rỗng 126
tột 55
tốt 155
tọt 48
tót 103
tời 48
tội 154
tới 153
tối 154
tôi 155
tồi 136
tỏi 133
tòi 109
toi 146
tơi 134
tói 42
tởn 108
tợn 54
tớn 3
tổn 139
tốn 154
tôn 152
tồn 147
ton 122
tơn 11
xỉu 121
xịu 49
xíu 142
xìu 107
tởm 139
tõm 50
tôm 145
tòm 55
tom 119
tóm 150
tộc 102
tốc 152
tọc 51
tóc 152
tọa 105
tỏa 133
tòa 153
tóa 98
toa 126
toe 116
tòe 53
tõe 48
tóe 106
nhoẹt 43
nhoét 53
nhoen 52
nhoẻn 51
nhoèn 48
doạng 48
doãng 50
đoàng 42
đoảng 54
trèm 42
treo 149
tréo 55
trèo 133
trẻo 99
trẹo 102
trèn 43
trên 155
trẽn 115
đoành 25
doanh 153
trệu 50
trêu 133
trết 53
trét 114
trệt 100
trẹt 49
minh 152
mình 157
huê 53
huế 5
huệ 102
huề 119
ràn 54
rần 120
rấn 16
rạn 134
rắn 134
